?cls	?def	?xrefs
<https://www.tib.eu/digitrubber#DIGITRUBBER_000052>	"A computing system (inspired by biological neural networks) that learns (progressively improves its ability) to do tasks by considering examples without task-specific programming. (After DeepAI Machine Learning Glossary and Terms)"@en	
<https://w3id.org/pmd/co/PMD_0000873>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000163>	"A pneumtaic machine that cuts rubber materials. Constitutes an entity sub-group of the machine entity."@en	
<https://w3id.org/pmd/co/PMD_0020104>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000304>	"Trade name for a specific paraffinic oil"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000135>	"A person who handles a company's incoming and outgoing raw materials, semi-finished prodcuts as well as finished products, and who manages stocks in the system under investigation. Constitutes an entity of the human ressource and the storage cost group."@en	
<http://purl.obolibrary.org/obo/CHEBI_33346>	"A titanium group element atom that has formula Rf."	
<http://purl.obolibrary.org/obo/CHEBI_25016>	"A carbon group element atom that has formula Pb."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000285>	"substance composed of molecules characterized by the multiple repetition of one or more species of atoms or groups of atoms (constitutional units) linked to each other in amounts sufficient to provide a set of properties that do not vary markedly with the addition or removal of one or a few of the constitutional units"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000533>	"A protocol which specifies the conditions, procedures, and instruments used for conducting a measurement assay in a sufficient level of detail to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the measurement assay."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000492>	"piece of material of appropriate shape and size, prepared so that it is ready for use in a test"@en	
<http://purl.obolibrary.org/obo/CHEBI_33833>	"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000209>	"Product of the process of Extrusion"@en	
<http://purl.obolibrary.org/obo/CHEBI_33375>	"A lanthanoid atom that has formula Gd."	
<http://purl.obolibrary.org/obo/CHEBI_50803>	"A nanosized spherical or capsule-shaped structure."	
<http://purl.obolibrary.org/obo/UO_0000051>		
<http://purl.obolibrary.org/obo/OBI_0000963>	"A label that is part of a categorical datum and that indicates the value of the data item on the categorical scale."@en	
<http://purl.obolibrary.org/obo/OBI_0001931>	"A value specification that consists of two parts: a numeral and a unit label"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000532>	"A human-readable collection of information about about how a scientific experiment or analysis was carried out that results in a specific set of data or results used for further analysis or to test a specific hypothesis."@en	
<https://w3id.org/pmd/co/PMD_0000563>		
<https://w3id.org/pmd/co/PMD_0000587>		
<http://purl.obolibrary.org/obo/IAO_0000015>	"A quality of an information bearer that imparts the information content"@en	
<https://w3id.org/pmd/co/PMD_0020105>		
<https://w3id.org/pmd/co/PMD_0000890>		
<https://w3id.org/pmd/co/PMD_0000781>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000142>	"The averafe time that is required to conduct scheduled maintenance activities for a machine entity unit. Constitutes a factor of the maintenance cost group."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000464>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000355>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000009>	"uppermost layer of the extrudate"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000597>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000519>	"A physical quality of a fluid inhering in a bearer by virtue of the bearer's disposition to internal resistance to flow."@en	
<http://purl.obolibrary.org/obo/CHEBI_36828>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000242>	"The analysis of a image (typically a digital image) of some type in order to extract information from it."@en	
<http://purl.obolibrary.org/obo/CHEBI_49696>	"A noble gas atom that has formula Kr."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000336>	"list of compounding ingredients and their proportions, used in the preparation of a compound"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000072>	"Supervised learning is the machine learning task of learning a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples. In supervised learning, each example is a pair consisting of an input object (typically a vector) and a desired output value (target)."@en	
<http://purl.obolibrary.org/obo/UO_0000270>		
<http://purl.obolibrary.org/obo/PATO_0002182>	"A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc."@en	
<https://w3id.org/pmd/co/PMD_0000588>		
<http://purl.obolibrary.org/obo/PATO_0000051>	"A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000571>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000462>		
<https://w3id.org/pmd/co/PMD_0000782>		
<https://w3id.org/pmd/co/PMD_0000540>		
<https://w3id.org/pmd/co/PMD_0000564>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000125>	"The product that emerges at the end of the production process of the system under study.  Constitutes an entity in the material cost, production cost, and waste management cost group."@en	
<https://w3id.org/pmd/co/PMD_0000891>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000463>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000003>		
<http://purl.obolibrary.org/obo/CHEBI_33319>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000301>	"Handelsname für ein spezifischen N600-Ruß"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000300>	"Ein N-Ruß mit einer durchschnittlichen Stickstoff-Oberfläche von 33 bis 39 m²/g."@de	
<http://purl.obolibrary.org/obo/CHEBI_29287>	"A copper group element atom that has formula Au."	
<http://purl.obolibrary.org/obo/CHEBI_36829>		
<http://purl.obolibrary.org/obo/CHEBI_33337>	"A scandium group element atom that has formula Ac."	
<http://purl.obolibrary.org/obo/CHEBI_33313>	"A radioactive metallic element discovered in 1898 by Marie Sklodowska Curie and named after her home country, Poland (Latin Polonia)."	
<http://purl.obolibrary.org/obo/CHEBI_38106>		
<http://purl.obolibrary.org/obo/OBI_0000070>	"A planned process with the objective to produce information about the material entity that is the evaluant, by physically examining it or its proxies."@en	
<https://w3id.org/pmd/co/PMD_0000589>		
<http://purl.obolibrary.org/obo/CHEBI_28073>	"A chromium group element atom that has atomic number 24."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000312>	"Handelsname für ein spezifisches Zinkoxid"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000040>	"The input layer of a neural network is composed of artificial input neurons, and brings the initial data into the system for further processing by subsequent layers of artificial neurons. The input layer is the very beginning of the workflow for the artificial neural network."@en	
<https://w3id.org/pmd/co/PMD_0000892>		
<https://w3id.org/pmd/co/PMD_0000541>		
<http://purl.obolibrary.org/obo/CHEBI_33310>	"A noble gas atom that has formula Ne."	
<https://w3id.org/pmd/co/PMD_0000783>		
<https://w3id.org/pmd/co/PMD_0000650>		
<http://purl.obolibrary.org/obo/CHEBI_33325>	"An alkaline earth metal atom that has formula Ra."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000430>	"product of an extrusion process"@en	
<https://w3id.org/pmd/co/PMD_0000565>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000357>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000551>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000116>	"A cost group for all cost values occuring from entity sub-groups in the waste management cost group and the associated factors"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000181>	"Material that is used to support the structure of rubber-based products (e.g., steel cords). Constitutes an entity subgroup of the raw material entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000197>	"It arises when groups differ statistically in their distributions on characteristics relevant to a given situation."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000466>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000494>	"roher, gemischter, vulkanisierter oder teilweise vulkanisierter Kautschuk, der bei der Produktion ver-worfen oder als Abfall deklariert und für die weitere Verwendung, außer zum Recyceln, als ungeeignet befunden wird"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000631>	"A concentration of ethylene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylene."@en	
<http://purl.obolibrary.org/obo/CHEBI_30415>	"A halogen that has formula At."	
<http://purl.obolibrary.org/obo/IAO_0000009>	"A label is a symbol that is part of some other datum and is used to either partially define  the denotation of that datum or to provide a means for identifying the datum as a member of the set of data with the same label"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000074>	"Unsupervised learning is a type of algorithm that learns patterns from untagged data. The hope is that through mimicry, which is an important mode of learning in people, the machine is forced to build a compact internal representation of its world and then generate imaginative content from it. Unsupervised methods exhibit self-organization that captures patterns as probability densities or a combination of neural feature preferences."@en	
<http://purl.obolibrary.org/obo/CHEBI_51446>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000139>	"A maintenance metric that measures the average time required to troubleshoot and repair failed equipment. Constitutes a factor of the maintenance cost group."@en	
<https://w3id.org/pmd/co/PMD_0000566>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000428>	"rotierendes Glied mit einer oder mehreren helixförmigen Rillen, das verwendet wird, um einen Kautschuk innerhalb eines Extruderrohrs voranzutreiben"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000642>	"Polybutadiene [butadiene rubber BR] is a synthetic rubber. Polybutadiene rubber is a polymer formed from the polymerization of the monomer 1,3-butadiene. Polybutadiene has a high resistance to wear and is used especially in the manufacture of tires."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000586>	"press having two or more super-imposed heated platens between which moulds are pressed"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000440>		
<https://w3id.org/pmd/co/PMD_0000651>		
<https://w3id.org/pmd/co/PMD_0000893>		
<https://w3id.org/pmd/co/PMD_0000784>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000129>	"A person who operates a machine entity unit in the system under investigation. Constitutes an entity of the human resource and the production cost group."@en	
<https://w3id.org/pmd/co/PMD_0000542>		
<http://purl.obolibrary.org/obo/CHEBI_33342>	"A titanium group element atom that has formula Zr."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000537>	"A measurement protocol for reliably reproducing the viscosity measurement assay."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000632>	"A concentration of ethylidene norbornene inhering in a substance by virtue of the amount of the bearer's there is mixed with ethylidene norbornene."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000441>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000465>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000185>	"Chemicals added to rubber to alter its physical properties. Constitutes an entity sub-group of the raw material entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000356>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000598>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000315>	"Trade name for a specific stearic acid"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000317>	"principal accelerator used in a vulcanizing system"@en	
<http://purl.obolibrary.org/obo/CHEBI_33380>	"A lanthanoid atom that has formula Tm."	
<http://purl.obolibrary.org/obo/UO_0000095>		
<https://w3id.org/pmd/co/PMD_0000648>		
<https://w3id.org/pmd/co/PMD_0000539>		
<https://w3id.org/pmd/co/PMD_0000951>		
<https://w3id.org/pmd/co/PMD_0000600>		
<https://w3id.org/pmd/co/PMD_0000842>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000086>	"Control value that specifies how long mixing takes place"@en	
<https://w3id.org/pmd/co/PMD_0000975>		
<https://w3id.org/pmd/co/PMD_0000624>		
<https://w3id.org/pmd/co/PMD_0000866>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000478>	"Any covalent linkage between two polymers or between two different regions of the same polymer."@en	
<http://purl.obolibrary.org/obo/CHEBI_48343>	"Compounds of structure RSSR'."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000244>	"In terms of digtal image procession: correction methods to compensate image errors caused by lense distorsion or perspective."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000054>	"A topic concerning the application of artificial intelligence methods to algorithms, in order to create methods that can learn from data in order to generate an ouput, rather than relying on explicitly encoded information only."@en	
<https://w3id.org/pmd/co/PMD_0020068>		
<https://w3id.org/pmd/co/PMD_0020044>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000013>	"A morphological quality inhering in a bearer by virtue of the bearer's ratios of distances between its features (points, edges, surfaces and also holes etc)."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000276>	"The relative proportions of monomers that make up a particular chemical polymer (raw rubber)."@en	
<http://purl.obolibrary.org/obo/CHEBI_27560>	"A boron group element atom that has formula B."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000309>	"in kleinen Mengen eingesetzter Mischungsbestandteil zur Erhöhung der Effektivität eines Beschleunigers"@de	
<https://w3id.org/pmd/co/PMD_0000867>		
<http://purl.obolibrary.org/obo/CHEBI_28694>	"A copper group element atom that has formula Cu."	
<https://w3id.org/pmd/co/PMD_0000625>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000647>	"Known as nitrile butadiene rubber and acrylonitrile butadiene rubber, is a synthetic rubber derived from acrylonitrile (ACN) and butadiene."@en	
<http://purl.obolibrary.org/obo/CHEBI_33374>	"A lanthanoid atom that has formula Sm."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000128>	"Materials used to wrap or protect raw materials, semi-finished products, and finished products."@en	
<https://w3id.org/pmd/co/PMD_0000649>		
<https://w3id.org/pmd/co/PMD_0000952>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000062>	"A computer algorithm to solve non-linear optimization problems. The algorithm was derived in analogy to the way the densely interconnected, parallel structure of the brain processes information."@en	
<http://purl.obolibrary.org/obo/CHEBI_33390>	"An actinoid atom that has formula Cm."	
<http://purl.obolibrary.org/obo/CHEBI_33517>	"A zinc group element atom with a symbol Cn and atomic number 112. All its isotopes are intensely radioactive. Prior to its discovery, it had the placeholder name ununbium (in accordance with IUPAC recommendations). Following its discovery (in Darmstadt, 1996) and subsequent confirmation, the name copernicium was adopted in 2010."	
<https://w3id.org/pmd/co/PMD_0000976>		
<https://w3id.org/pmd/co/PMD_0000601>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000021>	"\"The interior (intrinsic) orientation of a camera comprises all instrumental and mathematical elements which completely describe the imaging model within the camera. By taking proper account of the interior orientation, the real camera conforms to the pinhole camera model. It is a requirement of the model that there exists a reproducible image coordinate system so that geometric image values, such as measured image coordinates, can be transformed into the physical-mathematical imaging model.\" (Luhmann et al. 2020: 162). A standard model of describing the interior orientation was proposed by D.C. Brown (1971)"@en	
<http://purl.obolibrary.org/obo/CHEBI_194541>	"A p-block element atom with a symbol Og and atomic number 118."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000126>	"A duplicate part to replace a lost or damaged part of a machine entity unit in the system under investigation. Constitutes an entity sub-group of the wear parts entity."@en	
<https://w3id.org/pmd/co/PMD_0020069>		
<https://w3id.org/pmd/co/PMD_0020045>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000301>	"Trade name for a specific N600-carbon black"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000070>	"The test dataset is a subset of the dataset that is held back from training the model and given to the learning algorithm to test the trained model. Typically it consists of 20% to 30% of the original dataset. It is the sample of data used to provide an unbiased evaluation of a final model fit on the training dataset."@en	
<http://purl.obolibrary.org/obo/OBI_0200175>	"A class discovery data transformation (sometimes called unsupervised classification) is a data transformation that has objective class discovery."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000020>	"A measure of the range of values in a set of numbers. Standard deviation is a statistic used as a measure of the dispersion or variation in a distribution, equal to the square root of the arithmetic mean of the squares of the deviations from the arithmetic mean. (ncit defined)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000605>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000476>	"Produkt der Vulkanisation einer Kautschukmischung"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000629>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000123>	"The basic materials from which a finished product is made in the system under investigation. Constitutes an entity in the material cost and waste management cost group."@en	
<http://purl.obolibrary.org/obo/OBI_0200050>	"A dimensionality reduction is data partitioning which transforms each input m-dimensional vector (x_1, x_2, ..., x_m) into an output n-dimensional vector (y_1, y_2, ..., y_n), where n is smaller than m."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000607>	"A defined linked collection of atoms or a single atom within a molecular entity."@en	
<https://w3id.org/pmd/co/PMD_0000977>		
<https://w3id.org/pmd/co/PMD_0000626>		
<https://w3id.org/pmd/co/PMD_0000868>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000577>	"der Anteil einer aufgebrachten Normalspannung, welcher 90° phasenverschoben gegenüber der Normaldehnung ist, geteilt durch die Dehnung"@de	
<https://w3id.org/pmd/co/PMD_0000517>		
<https://w3id.org/pmd/co/PMD_0000820>		
<http://purl.obolibrary.org/obo/IAO_0000109>	"A measurement datum is an information content entity that is a recording of the output of a measurement such as produced by a device."@en	
<http://purl.obolibrary.org/obo/CHEBI_33393>	"An actinoid atom that has formula Es."	
<https://w3id.org/pmd/co/PMD_0000953>		
<https://w3id.org/pmd/co/PMD_0000602>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000552>	"Any device used to determine the dimension of an object."@en	
<https://w3id.org/pmd/co/PMD_0020046>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000257>	"Determining the number or amount of something."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000053>	"A planned process in which statistical techniques are used to give computers the ability to learn about patterns in data, without being explicitly programmed. Learning is defined in this case as progressively improving performance on a specific task."@en	
<http://purl.obolibrary.org/obo/BFO_0000040>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000187>	"A non-destructive light scattering technique that provides detailed information about the chemical structure upon the interaction of light with the chemical bonds within a material based on periodic changes of polarizabilities, usually manifested as energy loss (gain) with respect to the incident light."@en	
<http://purl.obolibrary.org/obo/IAO_0000225>	"The reason for which a term has been deprecated. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000475>	"Anzahl von Vernetzungen in einem Vulkanisat je Volumen- oder Masseneinheit"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000162>	"A machine that assembles all components and semi-finished products to produce a tire. Constitutes an entity sub-group of the machine entity."@en	
<http://purl.obolibrary.org/obo/CHEBI_33361>		
<https://w3id.org/pmd/co/PMD_0000845>		
<https://w3id.org/pmd/co/PMD_0000978>		
<https://w3id.org/pmd/co/PMD_0000603>		
<https://w3id.org/pmd/co/PMD_0000869>		
<https://w3id.org/pmd/co/PMD_0000518>		
<https://w3id.org/pmd/co/PMD_0000627>		
<http://purl.obolibrary.org/obo/CHEBI_30452>	"A chalcogen that has formula Te."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000593>	"A measurement protocol for reliably reproducing the concentration measurement assay."@en	
<https://w3id.org/pmd/co/PMD_0000930>		
<https://w3id.org/pmd/co/PMD_0000821>		
<http://purl.obolibrary.org/obo/OBI_0000023>	"A data set that is produced as the output of a class prediction data transformation and consists of a data set with assigned class labels."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000494>	"raw, compounded, vulcanized or partially vulcanized rubber rejected or generated as waste during product manufacture and found unsuitable for further use unless recycled"@en	
<http://purl.obolibrary.org/obo/IAO_0000309>	"A figure that expresses one or more propositions"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000422>	"Produkt eines Mischungsvorganges"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000208>	"the strength of a solution; number of molecules of a substance in a given volume (ecso defined)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000047>	"Industry 4.0 is the intelligent networking of machines and processes in the industrial environment, with the help of information and communication technology and thus digitization of the industrial production."@en	
<http://purl.obolibrary.org/obo/CHEBI_27998>	"A chromium group element atom that has formula W."	
<https://w3id.org/pmd/co/PMD_0020047>		
<http://purl.obolibrary.org/obo/OBI_0000700>	"A support vector machine is a data transformation with a class prediction objective based on the construction of a separating hyperplane that maximizes the margin between two data sets of vectors in n-dimensional space."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000137>	"A mode of transport that is employed to transport raw materials, semi-finished goods and finished goods within the system under investigation."@en	
<http://purl.obolibrary.org/obo/OBI_0200051>	"A principal components analysis dimensionality reduction is a dimensionality reduction achieved by applying principal components analysis and by keeping low-order principal components and excluding higher-order ones."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000285>	"Substanz, aufgebaut aus Molekülen, die gekennzeichnet sind durch eine Vielzahl von einer oder mehreren Arten von Atomen oder Atom-Gruppierungen (konstitutive Einheiten), die wiederholt aneinandergereiht sind, in einer Menge, so dass ein gewünschtes Eigenschaftsbild erlangt wird, das sich durch die Addition oder die Entfernung einer oder mehrerer konstitutioneller Einheiten nicht wesentlich ändert"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000153>	"Costs that can be identified with a particular project or program."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000350>	"An indication of the type of unit of measure being used to express a number of regular events in a given time per unit of time."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000331>	"combination of vulcanizing agent and, as required, accelerators, activators, retarders, etc., used to produce the desired vulcanization characteristics and vulcanizate properties"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000199>	"Natural and synthetic rubber materials that are modified and shaped into rubber products through the rubber extrusion process."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000243>	"The information represented by one or more variables, which has to be predicted by data analysis in instrumental analytics"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000453>	"A piece of apparatus that is used to measure a physical quantity."@en	
<http://purl.obolibrary.org/obo/CHEBI_33372>	"A lanthanoid atom that has formula Nd."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000109>	"A cost group for all cost values occuring from entity sub-groups in the human ressource cost group and the associated factors"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000233>	"An assessment used to quantify and describe the colors within the visible spectrum of light."@en	
<https://w3id.org/pmd/co/PMD_0000559>		
<http://purl.obolibrary.org/obo/CHEBI_33655>	"A cyclically conjugated molecular entity with a stability (due to delocalization) significantly greater than that of a hypothetical localized structure (e.g. Kekule structure) is said to possess aromatic character."	
<https://w3id.org/pmd/co/PMD_0000995>		
<https://w3id.org/pmd/co/PMD_0000644>		
<http://purl.obolibrary.org/obo/OBI_0000792>	"A data transformation which assesses how the results of a statistical analysis will generalize to an independent data set."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000382>		
<https://w3id.org/pmd/co/PMD_0000886>		
<https://w3id.org/pmd/co/PMD_0000511>		
<https://w3id.org/pmd/co/PMD_0000668>		
<https://w3id.org/pmd/co/PMD_0000777>		
<https://w3id.org/pmd/co/PMD_0000535>		
<https://w3id.org/pmd/co/PMD_0000971>		
<https://w3id.org/pmd/co/PMD_0000620>		
<https://w3id.org/pmd/co/PMD_0000862>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000096>	"Measured variable that indicates how high is the pressure during extrusion."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000402>	"The linear extent in space from one end of something to the other end, or the extent of something from beginning to end."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000378>	"A mechanical device designed to blend materials or an electronic device designed to blend signals."@en	
<https://w3id.org/pmd/co/PMD_0020048>		
<https://w3id.org/pmd/co/PMD_0020024>		
<https://w3id.org/pmd/co/PMD_0020000>		
<http://purl.obolibrary.org/obo/OBI_0001933>	"An information content entity that specifies a value within a classification scheme or on a quantitative scale."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000302>	"Mischungsbestandteil, welcher in geringen Mengen verwendet wird, um die Viskosität einer unvulkanisierten Kautschukmischung oder die Härte eines Vulkanisats zu verringern"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000351>	"A rotational frequency unit which is equal to the number of completed turns in a period of time that equals to 1 second."@en	
<http://purl.obolibrary.org/obo/CHEBI_68452>	"Any monocyclic heteroarene consisting of a five-membered ring containing nitrogen. Azoles can also contain one or more other non-carbon atoms, such as nitrogen, sulfur or oxygen."@en	"Wikipedia:Azole"
<http://purl.obolibrary.org/obo/CHEBI_38418>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000141>	"Type of planning time: Fixed time interval for the scheduled maintenance of a technical system or its parts."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000294>	"Trade name for a specific EPDM rubber"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000452>	"Device, agent (including humans), or software (simulation) involved in, or implementing, a Procedure. Sensors respond to a stimulus, e.g., a change in the environment, or input data composed from the results of prior Observations, and generate a Result. Sensors can be hosted by Platforms."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000073>	"A machine learning process using a function that maps an input to an output based on example input-output pairs. It infers a function from labeled training data consisting of a set of training examples."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000217>	"A peak describes a part of a data distribution function at a definite range of the experimental parameter (independent variable) of the distribution function. This definition includes a single data point of the distribution function. [Allotrope]"@en	
<https://w3id.org/pmd/co/PMD_0000863>		
<https://w3id.org/pmd/co/PMD_0000512>		
<http://purl.obolibrary.org/obo/OBI_0000401>	"An environmental control function is a function that regulates a contained environment within specified parameter ranges. For example the control of light exposure, humidity and temperature."@en	
<https://w3id.org/pmd/co/PMD_0000621>		
<https://w3id.org/pmd/co/PMD_0000996>		
<https://w3id.org/pmd/co/PMD_0000887>		
<https://w3id.org/pmd/co/PMD_0000536>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000258>	"a count is a data item denoted by an integer and represented the number of instances or occurences of an entity"@en	
<https://w3id.org/pmd/co/PMD_0000645>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000476>	"product of the vulcanization of a rubber compound"@en	
<https://w3id.org/pmd/co/PMD_0000972>		
<https://w3id.org/pmd/co/PMD_0020049>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000034>	"Data mining is the process of analyzing multivariate datasets using pattern recognition or other knowledge discovery techniques to identify potentially unknown and potentially meaningful data content, relationships, classification, or trends. (ita defined)"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000058>	"To bring or combine together or with something else; add as an additional element or part."@en	
<https://w3id.org/pmd/co/PMD_0020025>		
<https://w3id.org/pmd/co/PMD_0020001>		
<http://purl.obolibrary.org/obo/PATO_0001241>	"A quality which inheres in a continuant."@en	
<http://purl.obolibrary.org/obo/OBI_0000968>	"A material entity that is designed to perform a function in a scientific investigation, but is not a reagent."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000321>	"An organic disulfide resulting from the formal oxidative coupling of the thiol groups of two molecules of 1,3-benzothiazole-2-thiol. It is used as an accelerator in the rubber industry."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000079>	"a planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000171>	"An object shaped for repair and installation purposes, with the help of which something is processed or manufactured.Constitutes an entity sub-group of the wear parts entity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000609>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000303>	"Prozessöl aus Kohlenwasserstoffen, das größtenteils oder vollständig aus Alkanen besteht"@de	
<http://purl.obolibrary.org/obo/CHEBI_33675>	"A main group molecular entity that contains one or more atoms of a p-block element."@en	
<https://w3id.org/pmd/co/PMD_0000779>		
