?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0000869>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical reaction"@en	
<https://w3id.org/pmd/co/PMD_0000773>	<http://www.w3.org/2000/01/rdf-schema#label>	"hardness"@en	
<http://purl.obolibrary.org/obo/CHEBI_33382>	<http://www.w3.org/2000/01/rdf-schema#label>	"lutetium atom"	
<https://w3id.org/pmd/co/PMD_0000895>	<http://www.w3.org/2000/01/rdf-schema#label>	"pressing on - in"@en	
<https://w3id.org/pmd/co/PMD_0000895>	<http://www.w3.org/2000/01/rdf-schema#label>	"Anpressen - Einpressen"@de	
<http://purl.obolibrary.org/obo/CHEBI_33319>	<http://www.w3.org/2000/01/rdf-schema#label>	"lanthanoid atom"	
<https://w3id.org/pmd/co/PMD_0010020>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of rhodium"@en	
<http://purl.obolibrary.org/obo/BFO_0000030>	<http://www.w3.org/2000/01/rdf-schema#label>	"object"@en	
<https://w3id.org/pmd/co/PMD_0020052>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of yttrium"@en	
<https://w3id.org/pmd/co/PMD_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"2D"@en	
<https://w3id.org/pmd/co/PMD_0050023>	<http://www.w3.org/2000/01/rdf-schema#label>	"epoxy resin"@en	
<https://w3id.org/pmd/co/PMD_0000624>	<http://www.w3.org/2000/01/rdf-schema#label>	"electron microscope"@en	
<https://w3id.org/pmd/co/PMD_0000624>	<http://www.w3.org/2000/01/rdf-schema#label>	"Elektronenmikroskop"@de	
<https://w3id.org/pmd/co/PMD_0020086>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of gallium"@en	
<https://w3id.org/pmd/co/PMD_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating function"@en	
<https://w3id.org/pmd/co/PMD_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichtungsfunktion"@de	
<https://w3id.org/pmd/co/PMD_0020095>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of titanium"@en	
<http://purl.obolibrary.org/obo/CHEBI_33353>	<http://www.w3.org/2000/01/rdf-schema#label>	"technetium atom"	
<https://w3id.org/pmd/co/PMD_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"conditioning process"@en	
<https://w3id.org/pmd/co/PMD_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"Konditionierungsprozess"@de	
<https://w3id.org/pmd/co/PMD_0050088>	<http://www.w3.org/2000/01/rdf-schema#label>	"superconducting ceramic"@en	
<https://w3id.org/pmd/co/PMD_0000876>	<http://www.w3.org/2000/01/rdf-schema#label>	"optical profilometer"@en	
<https://w3id.org/pmd/co/PMD_0000876>	<http://www.w3.org/2000/01/rdf-schema#label>	"Optisches Profilometer"@de	
<http://purl.obolibrary.org/obo/BFO_0000001>	<http://www.w3.org/2000/01/rdf-schema#label>	"entity"@en	
<https://w3id.org/pmd/co/PMD_0020023>	<http://www.w3.org/2000/01/rdf-schema#label>	"metallic grain structures"@en	
<http://purl.obolibrary.org/obo/CHEBI_18291>	<http://www.w3.org/2000/01/rdf-schema#label>	"manganese atom"	
<https://w3id.org/pmd/co/PMD_0010000>	<http://www.w3.org/2000/01/rdf-schema#label>	"corrosion resistant"	
<https://w3id.org/pmd/co/PMD_0001016>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beugungsprozess"@de	
<https://w3id.org/pmd/co/PMD_0001016>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray diffraction process"@en	
<http://purl.obolibrary.org/obo/CHEBI_28659>	<http://www.w3.org/2000/01/rdf-schema#label>	"phosphorus atom"	
<https://w3id.org/pmd/co/PMD_0010019>	<http://www.w3.org/2000/01/rdf-schema#label>	"rhodium metal"@en	
<https://w3id.org/pmd/co/PMD_0000826>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnetizing"@en	
<https://w3id.org/pmd/co/PMD_0000826>	<http://www.w3.org/2000/01/rdf-schema#label>	"Magnetisieren"@de	
<https://w3id.org/pmd/co/PMD_0020175>	<http://www.w3.org/2000/01/rdf-schema#label>	"coil (coiled sheet)"@en	
<https://w3id.org/pmd/co/PMD_0011032>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicide ceramic"@en	
<https://w3id.org/pmd/co/PMD_0020066>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of ruthenium"@en	
<https://w3id.org/pmd/co/PMD_0000555>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromatography function"@en	
<https://w3id.org/pmd/co/PMD_0000555>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chromatographiefunktion"@de	
<https://w3id.org/pmd/co/PMD_0000786>	<http://www.w3.org/2000/01/rdf-schema#label>	"hybrid simulation"@en	
<https://w3id.org/pmd/co/PMD_0050059>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnesia-stabilized zirconia ceramic"@en	
<https://w3id.org/pmd/co/PMD_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"engineered material"@en	
<https://w3id.org/pmd/co/PMD_0001046>	<http://www.w3.org/2000/01/rdf-schema#label>	"depth"@en	
<https://w3id.org/pmd/co/PMD_0000856>	<http://www.w3.org/2000/01/rdf-schema#label>	"microscopy process"@en	
<https://w3id.org/pmd/co/PMD_0000856>	<http://www.w3.org/2000/01/rdf-schema#label>	"Mikroskopie Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0000862>	<http://www.w3.org/2000/01/rdf-schema#label>	"monte carlo simulation"@en	
<https://w3id.org/pmd/co/PMD_0000862>	<http://www.w3.org/2000/01/rdf-schema#label>	"Monte Carlo Simulation"@de	
<https://w3id.org/pmd/co/PMD_0025020>	<http://www.w3.org/2000/01/rdf-schema#label>	"single fatigue testing process"@en	
<http://purl.obolibrary.org/obo/CHEBI_33374>	<http://www.w3.org/2000/01/rdf-schema#label>	"samarium atom"	
<https://w3id.org/pmd/co/PMD_0000591>	<http://www.w3.org/2000/01/rdf-schema#label>	"crystal structure"@en	
<https://w3id.org/pmd/co/PMD_0000991>	<http://www.w3.org/2000/01/rdf-schema#label>	"3d printer"@en	
<https://w3id.org/pmd/co/PMD_0000991>	<http://www.w3.org/2000/01/rdf-schema#label>	"3D-Drucker"@de	
<http://purl.obolibrary.org/obo/BFO_0000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"realizable entity"@en	
<https://w3id.org/pmd/co/PMD_0020161>	<http://www.w3.org/2000/01/rdf-schema#label>	"activity (thermodynamic)"@en	
<https://w3id.org/pmd/co/PMD_0200003>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spritzpressen"@de	
<https://w3id.org/pmd/co/PMD_0200003>	<http://www.w3.org/2000/01/rdf-schema#label>	"injection-compression molding"@en	
<https://w3id.org/pmd/co/PMD_0000650>	<http://www.w3.org/2000/01/rdf-schema#label>	"forming under compressive conditions"@en	
<https://w3id.org/pmd/co/PMD_0000650>	<http://www.w3.org/2000/01/rdf-schema#label>	"Druckumformen"@de	
