?x	?p	?y
<https://w3id.org/pmd/co/PMD_0090013>	<http://purl.obolibrary.org/obo/RO_0002353>	<http://purl.obolibrary.org/obo/GO_0008150>
<https://w3id.org/pmd/co/PMD_0020226>	<https://w3id.org/pmd/co/PMD_0025006>	<https://w3id.org/pmd/co/PMD_0020246>
<https://w3id.org/pmd/co/PMD_0025003>	<https://w3id.org/pmd/co/PMD_0000077>	<https://w3id.org/pmd/co/PMD_0020023>
<https://w3id.org/pmd/co/PMD_0020221>	<http://purl.obolibrary.org/obo/RO_0000057>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid952
<https://w3id.org/pmd/co/PMD_0090012>	<http://purl.obolibrary.org/obo/RO_0002353>	<http://purl.obolibrary.org/obo/GO_0008150>
<https://w3id.org/pmd/co/PMD_0050141>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_33303>
<https://w3id.org/pmd/co/PMD_0001016>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000591>
<https://w3id.org/pmd/co/PMD_0050108>	<http://purl.obolibrary.org/obo/BFO_0000051>	<http://purl.obolibrary.org/obo/CHEBI_30187>
<http://purl.obolibrary.org/obo/OBI_0000070>	<http://purl.obolibrary.org/obo/OBI_0000417>	<http://purl.obolibrary.org/obo/IAO_0000005>
<https://w3id.org/pmd/co/PMD_0020231>	<http://purl.obolibrary.org/obo/RO_0002351>	_:B637347d4X2Dcd3cX2D4ee8X2D99faX2D65c5f6788fadgenid1018
<https://w3id.org/pmd/co/PMD_0050142>	<http://purl.obolibrary.org/obo/RO_0000091>	<https://w3id.org/pmd/co/PMD_0000107>
<https://w3id.org/pmd/co/PMD_0000002>	<http://purl.obolibrary.org/obo/OBI_0000312>	<https://w3id.org/pmd/co/PMD_0000833>
<https://w3id.org/pmd/co/PMD_0000982>	<http://purl.obolibrary.org/obo/RO_0009006>	<https://w3id.org/pmd/co/PMD_0000981>
<https://w3id.org/pmd/co/PMD_0020189>	<http://purl.obolibrary.org/obo/BFO_0000051>	<https://w3id.org/pmd/co/PMD_0020095>
